Année;Diesel  (g de CO2 / km);Total  (g de CO2 / km);Essence  (g de CO2 / km)
1995;175;176;177
1996;175;175;175
1997;174;175;175
1998;169;171;172
1999;161;166;171
2000;155;162;168
2001;154;156;164
2002;152;155;164
2003;151;155;163
2004;149;153;162
2005;149;152;159
2006;147;149;155
2007;148;149;153
2008;139;140;141
2009;134;133;131
2010;130;130;130
2011;127;127;129
2012;123;124;127
2013;117;117;122
2014;114;114;119
2015;111;111;116
2016;109;110;116
2017;110;111;116
2018;112;112;116
2019;113;112;116
2020;107;97;109
2022;130;103;131
;;;
Source : AAA;;;
Exporté le : 28/03/2023 à 13:20:24;;;
;;;
;;;
;moyenne;108;
